product_id,category,claims,ingredient_tags,pack_size
P095,Protein bar ,halal,"monk-fruit, oats",1
P096,Electrolyte Drink,high-protein,"collagen, monk-fruit, stevia",4
P097,Protein Bar,"vegan, kosher, plant-based, jain-friendly",Unknown,1
P098,Supplement,"kosher, nut-free",soy,1
P099,Supplement,"diabetic-friendly, jain-friendly, high-protein, vegan",almond-flour,1
P100,Protein bar ,"kosher, gluten-free",collagen,1
P101,Proten Shake,"keto-friendly, low-sugar, gluten-free, jain-friendly","pea-protein, almond-flour, monk-fruit",1
P102,Healthy Snack,"plant-based, kosher, vegan","pea-protein, collagen",4
P103,Protein Shake,diabetic-friendly,"whey, almond-flour, collagen",4
P104,Protein bar ,"kosher, jain-friendly, low-sugar, diabetic-friendly","oats, collagen, pea-protein",12
P105,Meal Replacement,"gluten-free, halal","whey, collagen, pea-protein",12
P106,Meal Replacement,"halal, jain-friendly","soy, almond-flour",1
P107,Electrolyte Drink,plant-based,"oats, monk-fruit, pea-protein",1
P108,Meal Replacement,"gluten-free, jain-friendly","stevia, almond-flour",12
P109,Supplement,"low-sugar, keto-friendly, diabetic-friendly, nut-free",soy,1
P110,Protein bar ,"gluten-free, halal","pea-protein, soy",4
P111,Proten Shake,"jain-friendly, diabetic-friendly","oats, stevia, collagen",1
P112,Electrolyte Drink,nut-free,"soy, almond-flour",1
P113,Meal Replacement,vegan,whey,4
P114,Healthy Snack,"nut-free, jain-friendly, clean-label, keto-friendly","monk-fruit, oats",1
P115,Protein Bar,vegan,pea-protein,4
P116,Protein Shake,"plant-based, gluten-free","whey, oats, collagen",1
P117,Meal Replacement,"low-sugar, jain-friendly, high-protein",almond-flour,1
P118,Healthy Snack,"kosher, nut-free, clean-label, vegan",monk-fruit,4
P119,Protein Bar,"high-protein, low-sugar","almond-flour, monk-fruit, stevia",1
P120,Protein bar ,"clean-label, high-protein, jain-friendly",whey,1
P121,Proten Shake,"kosher, jain-friendly, gluten-free, high-protein",whey,4
P122,Meal Replacement,"halal, high-protein, jain-friendly, keto-friendly",monk-fruit,4
P123,Proten Shake,"gluten-free, keto-friendly, kosher, low-sugar","whey, collagen",1
P124,Meal Replacement,kosher,"monk-fruit, whey",1
P125,Meal Replacement,"plant-based, diabetic-friendly",Unknown,4
P126,Meal Replacement,"nut-free, low-sugar","oats, almond-flour, monk-fruit",1
P127,Supplement,"vegan, low-sugar, diabetic-friendly, keto-friendly",soy,12
P128,Meal Replacement,"jain-friendly, low-sugar, diabetic-friendly",Unknown,1
P129,Electrolyte Drink,low-sugar,"soy, monk-fruit, whey",1
P130,Meal Replacement,vegan,pea-protein,4
P131,Proten Shake,"high-protein, low-sugar, nut-free","collagen, monk-fruit",12
P132,Proten Shake,plant-based,monk-fruit,4
P133,Protein bar ,"diabetic-friendly, vegan, clean-label, gluten-free","pea-protein, stevia, collagen",4
P134,Protein bar ,"clean-label, high-protein, nut-free","whey, collagen, monk-fruit",1
P135,Electrolyte Drink,"gluten-free, low-sugar, plant-based, vegan",pea-protein,1
P136,Electrolyte Drink,"high-protein, nut-free","stevia, collagen, oats",4
P137,Protein Shake,kosher,"oats, whey",1
P138,Meal Replacement,"nut-free, jain-friendly","soy, oats, pea-protein",1
P139,Healthy Snack,"high-protein, low-sugar, clean-label, jain-friendly",monk-fruit,1
P140,Electrolyte Drink,"vegan, plant-based, keto-friendly","soy, collagen, monk-fruit",1
P141,Healthy Snack,"gluten-free, kosher, diabetic-friendly","almond-flour, collagen",4
P142,Protein Shake,"gluten-free, high-protein, jain-friendly, kosher","almond-flour, oats",12
P143,Protein Bar,"nut-free, kosher, keto-friendly","stevia, oats, almond-flour",1
P144,Meal Replacement,"halal, diabetic-friendly, low-sugar","monk-fruit, collagen",4
P145,Healthy Snack,"gluten-free, jain-friendly, plant-based","whey, stevia",1
P146,Protein Shake,"diabetic-friendly, plant-based","whey, collagen, monk-fruit",1
P147,Proten Shake,"jain-friendly, diabetic-friendly","monk-fruit, stevia",1
P148,Protein Bar,"jain-friendly, halal, clean-label, diabetic-friendly","soy, monk-fruit",1
P149,Protein Bar,clean-label,"oats, stevia, collagen",1
P150,Meal Replacement,"halal, low-sugar","oats, monk-fruit, almond-flour",1
